Year,State/UT,City/Town/Village,S02 Annual Average,NO2 Annual Average,PM10 Annual Average,PM2.5 Annual Average
2020,Andhra Pradesh,Anantapur,6,15,66,31
2020,Andhra Pradesh,Chitoor,5,17,44,23
2020,Andhra Pradesh,Guntur,5,18,62,24
2020,Andhra Pradesh,Guwahati,8,13,107,49
2020,Andhra Pradesh,Kurnool,5,13,45,21
2020,Andhra Pradesh,Nellore,5,17,60,27
2020,Andhra Pradesh,Ongole,5,17,51,20
2020,Andhra Pradesh,Srikakulam,7,18,65,34
2020,Andhra Pradesh,Vijaywada,5,17,58,23
2020,Andhra Pradesh,Vishakhapatnam,9,20,87,34
2020,Andhra Pradesh,Vizianagaram,7,16,65,24
2020,Chandigarh,Chandigarh,2,20,110,71
2020,Chattisgarh,Bilaspur,5,12,55,30
2020,Chattisgarh,Durg-Bhillainagar,5,9,59,28
2020,Chattisgarh,Korba,7,17,46,19
2020,Dadra & Nagar Haveli and Daman & Diu,Daman,16,21,92,32
2020,Dadra & Nagar Haveli and Daman & Diu,Patlara (Daman),10,14,64,22
2020,Dadra & Nagar Haveli and Daman & Diu,Silvassa,17,22,96,33
2020,Goa,Amona,8,13,57,30
2020,Goa,Assanora,9,13,56,30
2020,Goa,Bicholim,9,13,60,31
2020,Goa,Codli,8,13,56,29
2020,Goa,Cuncolim,9,13,66,33
2020,Goa,Honda,9,13,62,32
2020,Goa,Kundaim,9,13,61,32
2020,Goa,Margao,8,13,56,29
2020,Goa,Mormugao,2,8,49,36
2020,Goa,Panaji,2,10,56,23
2020,Goa,Ponda,8,13,57,30
2020,Goa,Sanguem,8,13,55,29
2020,Goa,Tilamol,9,13,65,34
2020,Goa,Tuem,8,13,55,28
2020,Goa,Usgao,9,13,64,33
2020,Gujarat,Ahmedabad,14,17,108,28
2020,Gujarat,Anklesvar,15,21,94,32
2020,Gujarat,Dharamshala,2,6,39,20
2020,Gujarat,Jamnagar,14,17,92,25
2020,Gujarat,Kala Amb,4,15,95,61
2020,Gujarat,Paonta Sahib,3,12,68,34
2020,Gujarat,Parwanoo,2,5,45,10
2020,Gujarat,Rajkot,15,18,107,29
2020,Gujarat,Shimla,2,6,42,20
2020,Gujarat,Surat,18,23,93,34
2020,Gujarat,Vadodara,13,16,78,23
2020,Gujarat,Vapi,20,25,105,41
2020,Jammu & Kashmir,Jammu,3,19,171,31
2020,Karnataka,Bagalkote,2,14,42,14
2020,Karnataka,Belgaum,2,12,70,30
2020,Karnataka,Chitradurga,3,5,41,10
2020,Karnataka,Devanagere,5,7,40,11
2020,Karnataka,Hassan,3,19,36,22
2020,Karnataka,Hubli-Dharwad,4,15,46,15
2020,Karnataka,Kozhikode,2,5,28,19
2020,Karnataka,Malapuram,2,13,28,22
2020,Karnataka,Mangalore,6,10,47,32
2020,Karnataka,Mysore,2,15,47,24
2020,Karnataka,Palakkad,3,6,52,22
2020,Karnataka,Timukuru,2,26,60,27
2020,Madhya Pradesh,Amlai,11,18,60,28
2020,Madhya Pradesh,Chhindwara,3,13,66,24
2020,Madhya Pradesh,Dewas,16,17,69,41
2020,Madhya Pradesh,Gwalior,14,19,138,49
